role,model_id,mr_rank,mr_score,downloads,likes,n_derivatives
Popular Roots,Qwen/Qwen3-4B-Instruct-2507,1,10541.25,3779309,766,5278
Popular Roots,lerobot/smolvla_base,2,2014.06,55094,346,637
Popular Roots,Qwen/Qwen2.5-7B-Instruct,3,1557.26,21497102,1114,823
Popular Leaves,DevQuasar/fdtn-ai.Foundation-Sec-8B-Reasoning-GGUF,72156,2.65,133,0,0
Popular Leaves,Niraya666/Qwen3-VL-8B-Instruct-WMVLM-RL-0214-ckpt-180,72158,2.65,133,0,0
Popular Leaves,Open4bits/Qwen3-14B-Base-GGUF,72159,2.65,133,0,0
Hidden Roots,MuXodious/LFM2.5-1.2B-Thinking-absolute-heresy,163,67.21,29,2,11
Hidden Roots,YOYO-AI/Qwen3-30B-A3B-YOYO-V2,218,52.58,24,5,14
Hidden Roots,Phr00t/Qwen-Image-Edit-Rapid-AIO,390,33.59,0,1731,10
Long Tail,1024m/QWEN-14B-B100,93552,2.24,44,0,0
Long Tail,44dummies/ted-llama3-8b-gguf,104762,2.06,44,0,0
Long Tail,AXONVERTEX-AI-RESEARCH/medgemma-1.5-4b-it-Q8_0-GGUF,80522,2.48,44,0,0
